,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.545,0.416,2,-11.979,1,0.0433,0.559,0.00496,0.0369,0.295,76.872,audio_features,6M5m8gfTj3rhYEPDzLmdL4,spotify:track:6M5m8gfTj3rhYEPDzLmdL4,https://api.spotify.com/v1/tracks/6M5m8gfTj3rhYEPDzLmdL4,https://api.spotify.com/v1/audio-analysis/6M5m8gfTj3rhYEPDzLmdL4,394921,4,Ten Years Gone,Jimmy Page,149601,2023-05-30 14:29:00
0,0.691,0.672,0,-6.924,1,0.0247,0.104,0.000867,0.0478,0.555,90.369,audio_features,5s6gA3IQTbVqv8utc5jVcn,spotify:track:5s6gA3IQTbVqv8utc5jVcn,https://api.spotify.com/v1/tracks/5s6gA3IQTbVqv8utc5jVcn,https://api.spotify.com/v1/audio-analysis/5s6gA3IQTbVqv8utc5jVcn,331000,4,Cats Under The Stars,Jerry Garcia Band,1553,2023-05-31 05:10:00
0,0.545,0.416,2,-11.979,1,0.0433,0.559,0.00496,0.0369,0.295,76.872,audio_features,6M5m8gfTj3rhYEPDzLmdL4,spotify:track:6M5m8gfTj3rhYEPDzLmdL4,https://api.spotify.com/v1/tracks/6M5m8gfTj3rhYEPDzLmdL4,https://api.spotify.com/v1/audio-analysis/6M5m8gfTj3rhYEPDzLmdL4,394921,4,Ten Years Gone,Jimmy Page,4559,2023-05-31 05:10:00
0,0.532,0.841,3,-3.477,1,0.0331,0.0104,0.0,0.12,0.341,130.945,audio_features,2hulu6wd1hQLSsmuUejdqf,spotify:track:2hulu6wd1hQLSsmuUejdqf,https://api.spotify.com/v1/tracks/2hulu6wd1hQLSsmuUejdqf,https://api.spotify.com/v1/audio-analysis/2hulu6wd1hQLSsmuUejdqf,234827,4,Struggle,Keith Richards,252537,2023-05-31 05:14:00
0,0.62,0.853,10,-6.636,1,0.0527,0.342,0.0391,0.175,0.721,107.969,audio_features,2AeHOLJAweW35H4faobI5G,spotify:track:2AeHOLJAweW35H4faobI5G,https://api.spotify.com/v1/tracks/2AeHOLJAweW35H4faobI5G,https://api.spotify.com/v1/audio-analysis/2AeHOLJAweW35H4faobI5G,255120,4,"Cool, Calm And Collected",The Rolling Stones,255120,2023-05-31 05:19:00
0,0.471,0.371,5,-11.123,1,0.0423,0.756,0.0272,0.137,0.543,143.892,audio_features,2pbHaKsIRuIqjZHCLpyQMv,spotify:track:2pbHaKsIRuIqjZHCLpyQMv,https://api.spotify.com/v1/tracks/2pbHaKsIRuIqjZHCLpyQMv,https://api.spotify.com/v1/audio-analysis/2pbHaKsIRuIqjZHCLpyQMv,170373,4,You Got The Silver,The Rolling Stones,170373,2023-05-31 05:22:00
0,0.517,0.781,2,-6.33,1,0.0405,0.65,0.977,0.341,0.742,119.364,audio_features,7wSVa5dSpjM62zrF0WsMVQ,spotify:track:7wSVa5dSpjM62zrF0WsMVQ,https://api.spotify.com/v1/tracks/7wSVa5dSpjM62zrF0WsMVQ,https://api.spotify.com/v1/audio-analysis/7wSVa5dSpjM62zrF0WsMVQ,157173,4,Turd On The Run,The Rolling Stones,157173,2023-05-31 05:25:00
0,0.406,0.768,6,-9.321,1,0.0374,0.507,0.0473,0.0825,0.55,99.855,audio_features,5m6livL7ccIS92wq16n52r,spotify:track:5m6livL7ccIS92wq16n52r,https://api.spotify.com/v1/tracks/5m6livL7ccIS92wq16n52r,https://api.spotify.com/v1/audio-analysis/5m6livL7ccIS92wq16n52r,251453,4,Monkey Man,The Rolling Stones,251453,2023-05-31 05:29:00
0,0.453,0.738,9,-8.16,1,0.0347,0.498,0.00488,0.0526,0.778,182.233,audio_features,5HlLgmHL8qafp46jMtlxZJ,spotify:track:5HlLgmHL8qafp46jMtlxZJ,https://api.spotify.com/v1/tracks/5HlLgmHL8qafp46jMtlxZJ,https://api.spotify.com/v1/audio-analysis/5HlLgmHL8qafp46jMtlxZJ,255702,4,Custard Pie,Jimmy Page,13039,2023-05-31 05:30:00
0,0.552,0.623,9,-9.86,1,0.0361,0.238,0.000647,0.476,0.629,85.071,audio_features,5DwcKHWuKpR3BIDTqe9hkn,spotify:track:5DwcKHWuKpR3BIDTqe9hkn,https://api.spotify.com/v1/tracks/5DwcKHWuKpR3BIDTqe9hkn,https://api.spotify.com/v1/audio-analysis/5DwcKHWuKpR3BIDTqe9hkn,145920,4,Rumble,Link Wray,1136,2023-05-31 05:30:00
0,0.547,0.498,3,-10.802,1,0.036,0.13,0.835,0.0987,0.216,149.323,audio_features,2oSurc3FKyPDaoVpdbb1N9,spotify:track:2oSurc3FKyPDaoVpdbb1N9,https://api.spotify.com/v1/tracks/2oSurc3FKyPDaoVpdbb1N9,https://api.spotify.com/v1/audio-analysis/2oSurc3FKyPDaoVpdbb1N9,290449,4,Mirage,Jean-Luc Ponty,2521,2023-05-31 05:30:00
0,0.247,0.458,4,-10.509,0,0.0322,0.105,3.33e-05,0.283,0.465,171.923,audio_features,5bSSkaqVo0qsOmtYOcPpp3,spotify:track:5bSSkaqVo0qsOmtYOcPpp3,https://api.spotify.com/v1/tracks/5bSSkaqVo0qsOmtYOcPpp3,https://api.spotify.com/v1/audio-analysis/5bSSkaqVo0qsOmtYOcPpp3,243373,3,We Used to Know,Jethro Tull,1316,2023-05-31 05:30:00
0,0.454,0.766,2,-3.862,1,0.0272,0.664,0.904,0.594,0.776,90.677,audio_features,5SiCTf5r1cVjQXAXB2StpS,spotify:track:5SiCTf5r1cVjQXAXB2StpS,https://api.spotify.com/v1/tracks/5SiCTf5r1cVjQXAXB2StpS,https://api.spotify.com/v1/audio-analysis/5SiCTf5r1cVjQXAXB2StpS,257240,4,Torn And Frayed,The Rolling Stones,29632,2023-05-31 05:30:00
